match_id,id,subtype,event_incident_typefk,elapsed,elapsed_plus,del,goal_type,coordinates,player1,player2,team
839993,1436513,"volley",411,54,,,"n",,"52133","31306",8455
839993,1436715,,20,79,,,"p",,"30631",,8455
839994,1342201,"header",406,5,,,"n",,"27430","30829",10260
839994,1342936,,115,57,,,"o",,"24740",,8472
839995,1343860,"shot",393,44,,,"n",,"23678","30613",9825
839995,1343882,"shot",393,51,,,"n",,"30613","31013",9825
839995,1343885,"shot",393,53,,,"n",,"31013","30613",9825
839995,1343896,"header",406,57,,,"n",,"31306","30822",8455
839996,1343512,"shot",393,23,,,"n",,"30840","32870",8586
839996,1343645,"shot",393,67,,,"n",,"30840","30895",8586
839996,1343699,"distance",407,82,,,"n",,"139671","24136",10252
839997,1449581,"header",406,17,,,"n",,"38254","149917",8658
839997,1449696,"distance",39,35,,,"n",,"30839",,8668
839998,1342160,"shot",393,2,,,"n",,"23782","38817",8456
839998,1342210,"shot",393,5,,,"n",,"38817","38807",8456
839998,1343145,"header",406,72,,,"n",,"47382","24205",10261
839998,1343270,,115,81,,,"o",,"30929",,10261
839999,1342278,"volley",411,9,,,"n",,"71550","41071",8528
839999,1342422,"shot",393,20,,,"n",,"160713","71550",8528
839999,1343343,"shot",393,87,,,"n",,"32627","34433",8602
840000,1342832,"header",406,51,,,"n",,"38899","24773",10194
840000,1343383,"shot",393,90,"3",,"n",,"47418","38755",10194
840001,1341917,"header",406,11,,,"n",,"23780","24020",9879
840001,1341984,"loose_ball",131,37,,,"n",,"34543",,8654
840001,1342003,"volley",411,45,"1",,"n",,"26347","24223",8654
840001,1342082,"loose_ball",131,73,,,"n",,"34543",,8654
840002,1342655,"shot",393,40,,,"n",,"24372","130670",8559
840002,1343317,"shot",80,86,,,"n",,"34261",,8559
840003,1360773,"shot",393,3,,,"n",,"30853","154271",8650
840003,1360832,"shot",393,12,,,"n",,"23464","40563",8483
840003,1361343,"header",406,69,,,"n",,"21853","35554",8483
839824,1135928,,395,13,,,"n",,"31013","3520",9825
839824,1136236,,20,32,,,"p",,"3520",,9825
839824,1136353,,395,39,,,"n",,"31013","143793",9825
839824,1136664,,395,49,,,"n",,"27277","26111",9825
839824,1136856,,395,58,,,"n",,"31013","27277",9825
839824,1137264,"header",406,82,,,"n",,"25537","30843",9825
839825,1136243,"saved",159,33,,,"npm",,"34543",,8654
839825,1136660,,115,48,,,"o",,"23818",,8654
839825,1137055,"header",406,68,,,"n",,"34261","130670",8559
839825,1137229,,20,79,,,"p",,"37169",,8654
839825,1137296,"shot",80,84,,,"n",,"34261",,8559
839826,1136401,"loose_ball",131,43,,,"n",,"30876",,8668
839826,1137124,"shot",393,74,,,"n",,"34433","23291",8602
839827,1138786,"missed",22,10,,,"npm",,"26165",,10252
839827,1138797,"distance",407,12,,,"n",,"24205","33852",10261
839827,1138848,"header",44,31,,,"n",,"23933",,10261
839827,1138855,"shot",393,34,,,"n",,"47382","24899",10261
839827,1139108,"volley",411,67,,,"n",,"47382","24899",10261
839827,1139271,"shot",393,87,,,"n",,"23933","24225",10261
839827,1139295,"shot",393,90,"3",,"n",,"47382","37845",10261
839828,1140887,"shot",393,13,,,"n",,"23782","38807",8456
839828,1141067,"volley",411,52,,,"n",,"38817","24208",8456
839828,1141096,,20,68,,,"p",,"38817",,8456
839829,1139508,"distance",407,11,,,"n",,"30373","27430",10260
839829,1139899,"shot",393,57,,,"n",,"24020","24741",9879
839829,1140073,,115,84,,,"o",,"26777",,9879
839829,1140090,"saved",159,87,,,"npm",,"40945",,10260
839829,1140123,"header",406,90,,,"n",,"26777","34574",9879
839830,1136734,"saved",159,50,,,"npm",,"23916",,8655
839830,1136815,"header",406,54,,,"n",,"109621","23916",8655
839830,1136864,"volley",411,57,,,"n",,"25075","24002",8658
839830,1137107,"distance",407,71,,,"n",,"25075","35443",8658
839831,1137222,"shot",393,81,,,"n",,"25550","24171",8659
839832,1136048,"deflected",288,19,,,"n",,"31921",,8586
839832,1136140,"shot",80,25,,,"n",,"38755",,10194
839832,1136201,"volley",411,30,,,"n",,"31921","30895",8586
839833,1137744,"loose_ball",391,34,,,"n",,"30679","30631",8455
839833,1137836,"shot",393,48,,,"n",,"37804","32345",8455
839833,1137847,"header",406,52,,,"n",,"37804","30822",8455
839833,1137886,"loose_ball",304,62,,,"dg",,"18859",,8528
839833,1137961,"shot",393,78,,,"n",,"31906","30822",8455
839833,1138025,"header",406,90,,,"n",,"31906","30822",8455
839833,1138040,"shot",393,90,"4",,"n",,"24800","30856",8455
840004,1346095,"shot",393,56,,,"n",,"33138","34433",8602
840005,1344598,"shot",393,50,,,"n",,"21853","35554",8483
840005,1345033,"shot",393,90,,,"n",,"21853","127133",8483
840006,1344649,"shot",393,57,,,"n",,"30895","26108",8586
840006,1344911,"shot",393,81,,,"n",,"31921","31097",8586
840007,1345093,,115,16,,,"o",,"24023",,8668
840007,1345167,"shot",393,42,,,"n",,"77690","30876",8668
840008,1344062,,20,8,,,"p",,"108808",,8456
840008,1344101,"header",406,13,,,"n",,"33086","24159",8456
840008,1344246,"shot",393,27,,,"n",,"108808","37459",8456
840008,1344624,,20,55,,,"p",,"108808",,8456
840009,1345457,"shot",393,58,,,"n",,"27430","24156",10260
840009,1345520,"volley",411,90,,,"n",,"33049","38567",8658
840010,1344014,"shot",393,3,,,"n",,"21613","23916",8655
840010,1344144,"shot",393,17,,,"n",,"23954","33790",8659
840010,1344614,"header",406,53,,,"n",,"21613","23921",8655
840010,1344714,"header",406,62,,,"n",,"72735","23927",8655
840011,1344018,"distance",39,4,,,"n",,"43247",,9879
840011,1344080,"distance",407,10,,,"n",,"43247","31907",9879
840012,1345632,,20,18,,,"p",,"22991",,8528
840012,1345811,"bicycle_kick",390,40,,,"n",,"3520","36410",9825
840012,1345858,"shot",393,44,,,"n",,"36410","3520",9825
840012,1346190,,115,81,,,"o",,"33812",,9825
840013,1346001,"shot",393,61,,,"n",,"30679","30822",8455
840055,1347069,"header",406,43,,,"n",,"23934","24372",8559
840055,1347206,"volley",411,49,,,"n",,"30853","30618",8650
840055,1347774,"loose_ball",131,90,"2",,"n",,"30630",,8650
840056,1346643,"shot",80,11,,,"n",,"113836",,8472
840056,1346756,"header",406,19,,,"n",,"23949","111930",8472
840056,1347783,"shot",393,89,,,"n",,"41980","156008",8472
840057,1347048,"header",406,42,,,"n",,"31921","30840",8586
840058,1347243,,115,51,,,"o",,"40022",,8602
840058,1347617,"shot",393,79,,,"n",,"118390","23939",8654
840059,1346953,"shot",80,34,,,"n",,"24159",,8456
840059,1346986,"missed",22,37,,,"npm",,"38817",,8456
840060,1347839,"direct_freekick",130,13,,,"n",,"30843",,9825
840060,1347932,"shot",393,58,,,"n",,"26181","30613",9825
840060,1347943,,115,66,,,"o",,"34193",,8658
840061,1346339,"header",406,3,,,"n",,"30829","32569",10260
840061,1346354,"distance",39,14,,,"n",,"24171",,8659
840061,1346426,"missed",22,63,,,"npm",,"25550",,8659
840061,1346446,"header",406,75,,,"n",,"70409","30829",10260
840062,1346787,"header",406,23,,,"n",,"30988","24773",10194
840062,1347462,,115,69,,,"o",,"23268",,8668
840063,1348630,"loose_ball",391,19,,,"n",,"24225","36412",10261
840064,1348153,,20,23,,,"p",,"30631",,8455
840064,1348226,,20,41,,,"p",,"23354",,10252
840064,1348323,"header",406,47,,,"n",,"34466","30892",10252
840064,1348421,"loose_ball",391,84,,,"n",,"30822","31906",8455
840064,1348446,"loose_ball",391,89,,,"n",,"30627","30822",8455
840064,1348455,"header",406,90,"2",,"n",,"161414","139671",10252
840065,1350776,,395,27,,,"n",,"70409","40945",10260
840065,1350943,"header",406,50,,,"n",,"24411","42183",10194
840065,1351007,"shot",393,62,,,"n",,"40945","70409",10260
840067,1351482,,115,5,,,"o",,"25925",,8455
840068,1352549,"shot",393,54,,,"n",,"193869","155384",8559
840068,1353040,"shot",393,80,,,"n",,"26631","25948",8528
840069,1350749,"shot",80,24,,,"n",,"26169",,8658
840069,1351055,"volley",411,68,,,"n",,"21853","23464",8483
840069,1351203,"shot",393,89,,,"n",,"23837","34193",8658
840070,1352843,"distance",39,80,,,"n",,"36786",,8472
840071,1351617,"distance",407,3,,,"n",,"30735","24846",8668
840071,1351745,"header",406,11,,,"n",,"30840","30830",8586
840071,1353002,"header",44,76,,,"n",,"77690",,8668
840072,1351627,"shot",393,18,,,"n",,"35454","36412",10261
840072,1351983,"shot",393,39,,,"n",,"35454","36412",10261
840072,1352092,"shot",80,45,,,"n",,"23933",,10261
840072,1352444,"shot",393,60,,,"n",,"35454","23933",10261
840072,1352505,"shot",393,64,,,"n",,"36412","24205",10261
840073,1352098,"shot",393,31,,,"n",,"25667","72735",8655
840073,1352171,"shot",393,38,,,"n",,"25342","23916",8655
